Zulkifli,"Professor of Socio-Cultural Anthropology, UIN Syarif Hidayatullah Jakarta"
Asep Usman Ismail,UIN Syarif Hidayatullah Jakarta
Kadir Kadir,Professor at Department of Mathematics Education UIN Syarif Hidayatullah Jakarta
Nanda Saridewi,"Magister Kimia, Syarif Hidayatullah State Islamic University (UIN) of Jakarta"
Jajang Jahroni,UIN Syarif Hidayatullah Jakarta
Muhamad Zen,UIN Syarif Hidayatullah Jakarta
Nanda Saridewi,"Magister of chemistry science, Syarif Hidayatullah State Islamic  University, Jakarta"
Rumadi UIN Jakarta,Dosen UIN Syarif Hidayatullah Jakarta
Irfan Abubakar,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Isalmi Aziz,UIN Syarif Hidayatullah Jakarta
Suhaimi UIN Jakarta,UIN Syarif Hidayatullah Jakarta
Ali Munhanif,"Political Science, UIN Jakarta"
Siti Ummi Masruroh,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Anna Muawanah,UIN SYARIF HIDAYATULLAH JAKARTA
Jasmine Aliyah,UIN Syarif Hidayatullah Jakarta
Abd. Rahman,UIN Syarif Hidayatullah Jakarta
Muniaty Aisyah,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Riastuti kusuma wardani,UIN Jakarta
Fathiah Alatas,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Muhammad Zuhdi,UIN Syarif Hidayatullah Jakarta
Dadi Darmadi,"PPIM (Center for the Study of Islam and Society), UIN Syarif Hidayatullah Jakarta"
Fitri Damayanti,UIN Syarif Hidayatullah Jakarta
Muhammad Azwar,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Gelar Dwirahayu,"Doctor of Math Education, UIN Syarif Hidayatullah Jakarta"
Yunita Faela Nisa,UIN Syarif Hidayatullah Jakarta
Nelly Suryani,"Pharmacy Departement, Fakulty of Health Science, UIN Syarif Hidayatullah Jakarta"
Aulia sepviani,UIN Syarif Hidayatullah Jakarta
Risatianti Kolopaking,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Victor Amrizal,UIN Syarif Hidayatullah Jakarta
Wardah Nuroniyah (ORCID:0000-0002-1901-8791),FSH UIN Syarif Hidayatullah Jakarta  INDONESIA
"Prof. Dr. Hendrawati, M.Si",Departemen of Chemistry Faculty of Science and Technology State Islamic University (UIN …
Ahmad Bahtiar,UIN Syarif Hidayatullah Jakarta
Luh Kesuma Wardhani,UIN Syarif Hidayatullah Jakarta
Mohamad Avicenna,UIN Syarif Hidayatullah Jakarta
Indra Rahmatullah,Fakultas Syariah dan Hukum UIN Syarif Hidayatullah Jakarta
Salamah Agung,UIN Syarif Hidayatullah Jakarta
La Ode Sumarlin,uin syarif hidayatullah jakarta
Amilin,State Islamic University (UIN) Syarif Hidayatullah Jakarta
E Fetrina,UIN Syarif Hidayatullah Jakarta
Ainurrafiq Dawam,"Dosen Pendidikan Islam, Universitas Islam Negeri Syarif HIdayatullah Jakarta"
Isnawati Rais (orcid.org/0000-0002-5122-5467),UIN Syarif Hidayatullah Jakarta
Dedi Irawan,UIN Syarif Hidayatullah Jakarta
Tita Khalis Maryati,"Dosen Jurusan Pendidikan Matematika, UIN Syarif Hidayatullah Jakarta"
Din Wahid,PPIM UIN Syarif Hidayatullah Jakarta
Abdul Muin,"Associate Professor of Mathematics Education, Universitas Islam Negeri Syarif Hidayatullah …"
Suwendi Suwendi,Universitas Islam Negeri Syarif Hidayatullah Jakarta
M. Yunan Yusuf,UIN Syarif Hidayatullah Jakarta
Fatkhul Arifin,(ID SCOPUS : 57723068400) UIN Syarif Hidayatullah Jakarta
Imam Subchi,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Lukman,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Karlina Helmanita,Universitas Islam Negeri Syarif Hidayatullah Jakarta
"Narila Mutia Nasir, SKM, MKM, Ph.D",Universitas Islam Negeri Syarif Hidayatullah Jakarta
Deni Pandu Nugraha,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Erika Amelia,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Suhendra,"Dosen Komunikasi, Universitas Islam Negeri Syarif Hidayatullah Jakarta"
Sapiudin Shidiq,UIN Syarif Hidayatullah Jakarta
"Mohammad Hasan Ansori, Ph.D.","Universitas Islam Negeri Syarif Hidayatullah, Jakarta"
Abd. Muid N.,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Muslih Nurhusain,uin jakarta ilmu alqur'an tafsir fakultas ushuluddin
Luki Yunita,UIN Syarif Hidayatullah Jakarta
Waras Budi Utomo,UIN Syarif Hidayatullah Jakarta
Elvi Susanti,UIN Syarif Hidayatullah Jakarta
UBAID RIDLO,UIN Syarif Hidayatullah Jakarta
"Noryamin Aini, Assoc. Professor (orcid.org : 0000-0002-5269-5591)",Universitas Islam Negeri Syarif Hidayatullah Jakarta
Fitri Yani Jalil,UIN Jakarta
Fathma Cita,UIN Syarif Hidayatullah Jakarta
Rena Latifa,"UIN Syarif Hidayatullah Jakarta, Indonesia"
Buchori Muslim,UIN Syarif Hidayatullah Jakarta (ID Scopus : 58281581700)
Hamid Nasuhi,UIN Syarif Hidayatullah Jakarta
Nida Husna,UIN Syarif Hidayatullah Jakarta
Moch. Syarif Hidayatullah,UIN Syarif Hidayatullah Jakarta
Maya Defianty,UIN Syarif Hidayatullah Jakarta
Supriyadi Ahmad,"UIN Syarif Hidayatullah Jakarta, Indonesia"
Prof Salman Maggalatung,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Irma Nurbaeti,"Nursing, Keperawatan UIN Syarif Hidayatullah Jakarta"
Fitroh,UIN Syarif Hidayatullah Jakarta
Akhmad Baidun,UIN Syarif Hidayatullah Jakarta
"Pheni Chalid (Drs., SF., MA., Ph.D)",Fakultas Ekonomi dan Bisnis UIN Syarif Hidayatullah Jakarta
Siti Nurbayti,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Desmadi Saharuddin,Faculty of Economics and Business State Islamic University (UIN) Syarif Hidayatullah …
M. Ali Wafa,Universitas Islam Negeri Syarif Hidayatullah Jakarta
"JM Muslimin, MA., Ph.D",Universitas Islam Negeri Syarif Hidayatullah Jakarta
"Evy Nurmiati, MMSI",UIN Jakarta
yardi saibi,UIN Syarif Hidayatullah Jakarta
Arif Zamhari,UIN Syarif HIdayatullah Jakarta
